language,cluster_id,cluster_label,cue_role,relative_start_s,relative_end_s,slot_s,spoken_text
DE,A,auseinander und zusammen,start,0.000,20.000,20.000,"Auseinander und zusammen. Hände nach außen, dann zurück bis fast zusammen. Drei Sekunden raus, drei zurück. Wiederholen."
DE,A,auseinander und zusammen,continue,20.000,40.000,20.000,"Wiederholen Sie dieselbe Bewegung weiter. Nach außen bis zu einem gut sichtbaren Abstand ... zurück, bis die Hände sich fast berühren. Langsam und gleichmäßig."
DE,A,auseinander und zusammen,final_repetitions,40.000,55.000,15.000,"Letzte Wiederholungen dieses Musters. Machen Sie noch ein oder zwei Zyklen nach außen und zurück, im gleichen Tempo."
DE,A,auseinander und zusammen,stop_transition,55.000,60.000,5.000,"Mitte, sichtbar, Handflächen nach unten."
DE,B,Handflächen nach oben und unten,start,0.000,20.000,20.000,"Beginnen Sie mit der Handflächendrehung. Hände in der Mitte. Handflächen nach oben drehen, kurz halten, dann nach unten. Weiter im gleichmäßigen Tempo."
DE,B,Handflächen nach oben und unten,continue,20.000,40.000,20.000,Wiederholen Sie dieselbe Drehung weiter. Handflächen nach oben ... halten ... nach unten. Beide Hände bleiben in der Mitte.
DE,B,Handflächen nach oben und unten,final_repetitions,40.000,55.000,15.000,"Letzte Wiederholungen der Handflächendrehung. Machen Sie noch ein oder zwei Zyklen nach oben und nach unten, im gleichen Tempo."
DE,B,Handflächen nach oben und unten,stop_transition,55.000,60.000,5.000,"Mitte, sichtbar, Handflächen nach unten."
DE,C,eine Hand ausstrecken,start_left,0.000,30.000,30.000,Beginnen Sie jetzt mit der Bewegung nach links. Die rechte Hand bleibt in der Mitte. Führen Sie die linke Hand nach links in den sichtbaren Raum vor Ihnen und dann zurück zur Mitte. Starten Sie die erste Wiederholung jetzt. Nach links ... und zurück. Wiederholen Sie diese Bewegung nach links.
DE,C,eine Hand ausstrecken,switch_right,30.000,55.000,25.000,Wechseln Sie jetzt die Seite. Die linke Hand bleibt in der Mitte. Führen Sie die rechte Hand nach rechts in den sichtbaren Raum vor Ihnen und dann zurück zur Mitte. Starten Sie die erste Wiederholung nach rechts jetzt. Nach rechts ... und zurück. Wiederholen Sie weiter.
DE,C,eine Hand ausstrecken,stop_transition,55.000,60.000,5.000,"Hände zusammen, Mitte, Handflächen nach unten."
DE,CIRCLE,Abschluss mit Kreis (fest),start_circle,0.000,20.000,20.000,"Beginnen Sie jetzt mit beiden Händen zusammen in der Mitte. Zeichnen Sie einen mittelgroßen Kreis in die Luft, in eine Richtung. Starten Sie den ersten Kreis jetzt und zeichnen Sie langsam weiter."
DE,CIRCLE,Abschluss mit Kreis (fest),shrink_stop,20.000,40.000,20.000,"Führen Sie den Kreis noch einige Momente weiter. Dann wird jeder Kreis kleiner als der letzte. Bringen Sie beide Hände zurück zur Mitte, Handflächen nach unten, und stoppen Sie am Ende."
DE,D,öffnen und schließen,start,0.000,20.000,20.000,"Beginnen Sie jetzt mit Öffnen und Schließen. Öffnen Sie beide Hände, bis die Finger weit gespreizt sind, dann locker schließen. Etwa zwei Sekunden je Richtung. Starten Sie jetzt und wiederholen Sie weiter."
DE,D,öffnen und schließen,continue,20.000,40.000,20.000,Wiederholen Sie dieselbe Öffnen-und-Schließen-Bewegung weiter. Finger weit öffnen ... dann locker schließen. Langsam und gleichmäßig.
DE,D,öffnen und schließen,final_repetitions,40.000,55.000,15.000,"Letzte Wiederholungen von Öffnen und Schließen. Machen Sie noch ein oder zwei Zyklen, im gleichen Tempo."
DE,D,öffnen und schließen,stop_transition,55.000,60.000,5.000,"Mitte, sichtbar, Handflächen nach unten."
DE,SETUP,Setup,setup,0.000,20.000,20.000,"Diese Aufgabe dauert etwa fünf Minuten. Halten Sie beide Hände sichtbar vor sich, nahe der Mitte Ihres Blickfelds, die Handflächen nach unten. Halten Sie sie still. Wenn der nächste Hinweis beginnt, starten Sie die erste Bewegung."
EN,A,apart and together,start,0.000,20.000,20.000,"Start apart and together. Palms down. Move out, then back until the hands nearly touch. Three seconds out, three back. Keep repeating."
EN,A,apart and together,continue,20.000,40.000,20.000,Continue repeating the same movement. Out to a comfortable distance... back until the hands nearly touch. Keep the pace slow and even.
EN,A,apart and together,final_repetitions,40.000,55.000,15.000,Last repetitions of this pattern. Complete one or two more out-and-back cycles at the same pace.
EN,A,apart and together,stop_transition,55.000,60.000,5.000,"Complete this cycle. Center, stop."
EN,B,palms up and down,start,0.000,20.000,20.000,"Now begin the palm rotation. With both hands at the center, turn the palms to face up. Hold a moment, then turn the palms back down. Up... and down, at a steady pace."
EN,B,palms up and down,continue,20.000,40.000,20.000,Continue the same rotation. Palms up... hold... palms down. Keep both hands centered and repeat steadily.
EN,B,palms up and down,final_repetitions,40.000,55.000,15.000,Last repetitions of palm rotation. Complete one or two more up-and-down cycles at the same pace.
EN,B,palms up and down,stop_transition,55.000,60.000,5.000,"Complete this cycle. Center, stop."
EN,C,single-hand reaches,start_left,0.000,30.000,30.000,"Begin now with the left-side reach. Keep your right hand at the center. Move your left hand to the left side of the visible space in front of you, then bring it back to center. Start the first reach now. To the left... and back. Keep repeating this left-side movement."
EN,C,single-hand reaches,switch_right,30.000,55.000,25.000,"Switch sides now. Keep your left hand at the center. Move your right hand to the right side of the visible space in front of you, then bring it back to center. Start the first right-side reach now. To the right... and back. Keep repeating."
EN,C,single-hand reaches,stop_transition,55.000,60.000,5.000,"Both hands center, palms down."
EN,CIRCLE,Circle close (fixed),start_circle,0.000,20.000,20.000,"Begin now with both hands together at the center. Draw a medium-sized circle in the air, turning in one direction. Start the first circle now, and keep tracing the same circle slowly."
EN,CIRCLE,Circle close (fixed),shrink_stop,20.000,40.000,20.000,"Continue the circle for a few more moments. Then make each circle smaller than the last. Bring both hands back to the center, palms down, and stop when the task ends."
EN,D,open and close,start,0.000,20.000,20.000,"Begin now with opening and closing. Open both hands until the fingers are spread wide, then close into a loose fist. About two seconds each way. Start now, and keep repeating."
EN,D,open and close,continue,20.000,40.000,20.000,Continue the same opening and closing. Fingers open wide... then close loosely. Keep the motion slow and even.
EN,D,open and close,final_repetitions,40.000,55.000,15.000,Last repetitions of opening and closing. Complete one or two more open-and-close cycles at the same pace.
EN,D,open and close,stop_transition,55.000,60.000,5.000,"Complete this cycle. Center, stop."
EN,SETUP,Setup,setup,0.000,20.000,20.000,"This task runs for about five minutes. Hold both hands where you can see them, near the center of your view, palms facing down. Keep them still. When the next cue begins, start the first movement."
