version,language,start_mmss,slot_s,est_speech_s,est_pause_s,cluster_id,cue_role,chars,spoken_text
V01,DE,00:00,20.0,15.0,5.0,SETUP,setup,218,"Diese Sitzung dauert etwa fuenf Minuten. Wir fuehren Sie nacheinander durch einige kurze Hand- und Armbewegungen. Halten Sie zu Beginn beide Haende vor sich, drehen Sie die Handflaechen zu sich, und schauen Sie sie an."
V01,DE,00:20,30.0,18.7,11.3,A,start,271,"Nun lassen Sie uns eine Bewegung mit beiden Armen machen. Strecken Sie beide Arme zur Seite und nach oben aus, voneinander weg, sodass sie ein weites V bilden. Fuehren Sie die Haende dann wieder zur Mitte zurueck. Wiederholen Sie das ein paar Mal, in Ihrem eigenen Tempo."
V01,DE,00:50,30.0,6.8,23.2,A,continue,99,"Oeffnen Sie die Arme weiter zum V und fuehren Sie sie zurueck zur Mitte, in Ihrem eigenen Rhythmus."
V01,DE,01:20,30.0,18.2,11.8,B,start,264,"Machen wir nun die naechste Bewegung, mit beiden Armen vor sich. Heben Sie beide Arme an, bis Ihre Haende etwa auf Augenhoehe sind, und senken Sie sie dann wieder ganz nach unten. Heben und senken Sie die Arme, und wiederholen Sie das mehrmals, ganz nach Belieben."
V01,DE,01:50,30.0,6.3,23.7,B,continue,92,"Heben und senken Sie beide Arme weiter, bis auf Augenhoehe und zurueck, so wie Sie moechten."
V01,DE,02:20,30.0,18.5,11.5,D,start,268,"Als naechstes machen wir eine Bewegung mit einem Arm nach dem anderen. Strecken Sie den rechten Arm gerade vor sich aus und fuehren Sie ihn zurueck. Machen Sie dasselbe mit dem linken Arm, vor und zurueck. Wiederholen Sie das mehrmals abwechselnd, so wie Sie moechten."
V01,DE,02:50,30.0,7.1,22.9,D,continue,103,"Strecken Sie weiter abwechselnd den rechten und den linken Arm vor und zurueck, in Ihrem eigenen Tempo."
V01,DE,03:20,30.0,18.3,11.7,C,start,265,"Versuchen wir nun eine Bewegung mit Ihren Fingern. Spreizen Sie alle Finger weit auseinander, strecken Sie sie ganz aus, und ballen Sie sie dann zu zwei Faeusten. Oeffnen und schliessen Sie die Finger, und wiederholen Sie das einige Male, in Ihrem eigenen Rhythmus."
V01,DE,03:50,30.0,6.5,23.5,C,continue,94,"Spreizen und ballen Sie die Finger weiter, oeffnen und schliessen Sie sie, ganz nach Belieben."
V01,DE,04:20,30.0,17.8,12.2,CIRCLE,start_circle,258,"Zum Abschluss machen wir eine Bewegung mit beiden Haenden zusammen. Halten Sie die Haende vor sich und bewegen Sie sie im Kreis durch die Luft, beide auf derselben Bahn. Zeichnen Sie den Kreis weiter, und wiederholen Sie ihn ein paar Mal, ganz nach Belieben."
V01,DE,04:50,10.0,9.9,0.1,CIRCLE,close,144,"Lassen Sie den Kreis nun kleiner und kleiner werden, bis beide Haende zur Mitte zurueckkommen und stehen bleiben. Dies ist das Ende der Sitzung."
V01,EN,00:00,20.0,14.6,5.4,SETUP,setup,212,"This session takes about five minutes. We will guide you through a few short hand and arm movements, one after another. To start, hold both hands up in front of you, turn your palms to face you, and look at them."
V01,EN,00:20,30.0,16.8,13.2,A,start,244,"Now, let's do a movement with both arms. Stretch both arms out to your sides and upward, away from each other, into a wide V shape. Then bring your hands back down to the center until they nearly meet. Repeat this a few times, at your own pace."
V01,EN,00:50,30.0,6.0,24.0,A,continue,87,"Keep opening your arms into the V and back to the center, continuing at your own speed."
V01,EN,01:20,30.0,16.9,13.1,B,start,245,"Now let's do the next one, with both arms in front of you. Raise both arms upward until your hands are about at eye level, then lower them all the way back down again. Raise and lower your arms, and go through this a few times, in your own time."
V01,EN,01:50,30.0,6.4,23.6,B,continue,93,"Continue raising your arms all the way up to eye level and lowering them, in your own rhythm."
V01,EN,02:20,30.0,16.5,13.5,D,start,239,"Next, let's do a movement with one arm at a time. Reach your right arm straight out in front of you, then bring it back. Do the same with your left arm, forward and back. Alternate between them, and do this a few times, in your own rhythm."
V01,EN,02:50,30.0,6.3,23.7,D,continue,92,"Keep reaching each arm forward and back, right and then left, and carry on at your own pace."
V01,EN,03:20,30.0,16.6,13.4,C,start,240,"Now let's try a movement with your fingers. Spread all the fingers of both hands wide apart, stretching them out fully, then curl them in to make two fists. Open and then close your fingers, and repeat this several times, at your own speed."
V01,EN,03:50,30.0,6.1,23.9,C,continue,89,"Carry on spreading your fingers wide and closing them into fists again, in your own time."
V01,EN,04:20,30.0,16.3,13.7,CIRCLE,start_circle,237,"Finally, let's do a movement with both hands together. Hold your hands in front of you and move them around in a circle in the air, both hands following the same path. Keep tracing the circle, and repeat it a few times, at your own pace."
V01,EN,04:50,10.0,8.5,1.5,CIRCLE,close,123,"Now make the circle smaller and smaller, until both hands come back to the center and stop. This is the end of the session."
V02,DE,00:00,20.0,15.0,5.0,SETUP,setup,218,"Diese Sitzung dauert etwa fuenf Minuten. Wir fuehren Sie nacheinander durch einige kurze Hand- und Armbewegungen. Halten Sie zu Beginn beide Haende vor sich, drehen Sie die Handflaechen zu sich, und schauen Sie sie an."
V02,DE,00:20,30.0,18.2,11.8,B,start,264,"Machen wir nun die naechste Bewegung, mit beiden Armen vor sich. Heben Sie beide Arme an, bis Ihre Haende etwa auf Augenhoehe sind, und senken Sie sie dann wieder ganz nach unten. Heben und senken Sie die Arme, und wiederholen Sie das mehrmals, ganz nach Belieben."
V02,DE,00:50,30.0,6.3,23.7,B,continue,92,"Heben und senken Sie beide Arme weiter, bis auf Augenhoehe und zurueck, so wie Sie moechten."
V02,DE,01:20,30.0,18.3,11.7,C,start,265,"Versuchen wir nun eine Bewegung mit Ihren Fingern. Spreizen Sie alle Finger weit auseinander, strecken Sie sie ganz aus, und ballen Sie sie dann zu zwei Faeusten. Oeffnen und schliessen Sie die Finger, und wiederholen Sie das einige Male, in Ihrem eigenen Rhythmus."
V02,DE,01:50,30.0,6.5,23.5,C,continue,94,"Spreizen und ballen Sie die Finger weiter, oeffnen und schliessen Sie sie, ganz nach Belieben."
V02,DE,02:20,30.0,18.7,11.3,A,start,271,"Nun lassen Sie uns eine Bewegung mit beiden Armen machen. Strecken Sie beide Arme zur Seite und nach oben aus, voneinander weg, sodass sie ein weites V bilden. Fuehren Sie die Haende dann wieder zur Mitte zurueck. Wiederholen Sie das ein paar Mal, in Ihrem eigenen Tempo."
V02,DE,02:50,30.0,6.8,23.2,A,continue,99,"Oeffnen Sie die Arme weiter zum V und fuehren Sie sie zurueck zur Mitte, in Ihrem eigenen Rhythmus."
V02,DE,03:20,30.0,18.5,11.5,D,start,268,"Als naechstes machen wir eine Bewegung mit einem Arm nach dem anderen. Strecken Sie den rechten Arm gerade vor sich aus und fuehren Sie ihn zurueck. Machen Sie dasselbe mit dem linken Arm, vor und zurueck. Wiederholen Sie das mehrmals abwechselnd, so wie Sie moechten."
V02,DE,03:50,30.0,7.1,22.9,D,continue,103,"Strecken Sie weiter abwechselnd den rechten und den linken Arm vor und zurueck, in Ihrem eigenen Tempo."
V02,DE,04:20,30.0,17.8,12.2,CIRCLE,start_circle,258,"Zum Abschluss machen wir eine Bewegung mit beiden Haenden zusammen. Halten Sie die Haende vor sich und bewegen Sie sie im Kreis durch die Luft, beide auf derselben Bahn. Zeichnen Sie den Kreis weiter, und wiederholen Sie ihn ein paar Mal, ganz nach Belieben."
V02,DE,04:50,10.0,9.9,0.1,CIRCLE,close,144,"Lassen Sie den Kreis nun kleiner und kleiner werden, bis beide Haende zur Mitte zurueckkommen und stehen bleiben. Dies ist das Ende der Sitzung."
V02,EN,00:00,20.0,14.6,5.4,SETUP,setup,212,"This session takes about five minutes. We will guide you through a few short hand and arm movements, one after another. To start, hold both hands up in front of you, turn your palms to face you, and look at them."
V02,EN,00:20,30.0,16.9,13.1,B,start,245,"Now let's do the next one, with both arms in front of you. Raise both arms upward until your hands are about at eye level, then lower them all the way back down again. Raise and lower your arms, and go through this a few times, in your own time."
V02,EN,00:50,30.0,6.4,23.6,B,continue,93,"Continue raising your arms all the way up to eye level and lowering them, in your own rhythm."
V02,EN,01:20,30.0,16.6,13.4,C,start,240,"Now let's try a movement with your fingers. Spread all the fingers of both hands wide apart, stretching them out fully, then curl them in to make two fists. Open and then close your fingers, and repeat this several times, at your own speed."
V02,EN,01:50,30.0,6.1,23.9,C,continue,89,"Carry on spreading your fingers wide and closing them into fists again, in your own time."
V02,EN,02:20,30.0,16.8,13.2,A,start,244,"Now, let's do a movement with both arms. Stretch both arms out to your sides and upward, away from each other, into a wide V shape. Then bring your hands back down to the center until they nearly meet. Repeat this a few times, at your own pace."
V02,EN,02:50,30.0,6.0,24.0,A,continue,87,"Keep opening your arms into the V and back to the center, continuing at your own speed."
V02,EN,03:20,30.0,16.5,13.5,D,start,239,"Next, let's do a movement with one arm at a time. Reach your right arm straight out in front of you, then bring it back. Do the same with your left arm, forward and back. Alternate between them, and do this a few times, in your own rhythm."
V02,EN,03:50,30.0,6.3,23.7,D,continue,92,"Keep reaching each arm forward and back, right and then left, and carry on at your own pace."
V02,EN,04:20,30.0,16.3,13.7,CIRCLE,start_circle,237,"Finally, let's do a movement with both hands together. Hold your hands in front of you and move them around in a circle in the air, both hands following the same path. Keep tracing the circle, and repeat it a few times, at your own pace."
V02,EN,04:50,10.0,8.5,1.5,CIRCLE,close,123,"Now make the circle smaller and smaller, until both hands come back to the center and stop. This is the end of the session."
V03,DE,00:00,20.0,15.0,5.0,SETUP,setup,218,"Diese Sitzung dauert etwa fuenf Minuten. Wir fuehren Sie nacheinander durch einige kurze Hand- und Armbewegungen. Halten Sie zu Beginn beide Haende vor sich, drehen Sie die Handflaechen zu sich, und schauen Sie sie an."
V03,DE,00:20,30.0,18.5,11.5,D,start,268,"Als naechstes machen wir eine Bewegung mit einem Arm nach dem anderen. Strecken Sie den rechten Arm gerade vor sich aus und fuehren Sie ihn zurueck. Machen Sie dasselbe mit dem linken Arm, vor und zurueck. Wiederholen Sie das mehrmals abwechselnd, so wie Sie moechten."
V03,DE,00:50,30.0,7.1,22.9,D,continue,103,"Strecken Sie weiter abwechselnd den rechten und den linken Arm vor und zurueck, in Ihrem eigenen Tempo."
V03,DE,01:20,30.0,18.7,11.3,A,start,271,"Nun lassen Sie uns eine Bewegung mit beiden Armen machen. Strecken Sie beide Arme zur Seite und nach oben aus, voneinander weg, sodass sie ein weites V bilden. Fuehren Sie die Haende dann wieder zur Mitte zurueck. Wiederholen Sie das ein paar Mal, in Ihrem eigenen Tempo."
V03,DE,01:50,30.0,6.8,23.2,A,continue,99,"Oeffnen Sie die Arme weiter zum V und fuehren Sie sie zurueck zur Mitte, in Ihrem eigenen Rhythmus."
V03,DE,02:20,30.0,18.3,11.7,C,start,265,"Versuchen wir nun eine Bewegung mit Ihren Fingern. Spreizen Sie alle Finger weit auseinander, strecken Sie sie ganz aus, und ballen Sie sie dann zu zwei Faeusten. Oeffnen und schliessen Sie die Finger, und wiederholen Sie das einige Male, in Ihrem eigenen Rhythmus."
V03,DE,02:50,30.0,6.5,23.5,C,continue,94,"Spreizen und ballen Sie die Finger weiter, oeffnen und schliessen Sie sie, ganz nach Belieben."
V03,DE,03:20,30.0,18.2,11.8,B,start,264,"Machen wir nun die naechste Bewegung, mit beiden Armen vor sich. Heben Sie beide Arme an, bis Ihre Haende etwa auf Augenhoehe sind, und senken Sie sie dann wieder ganz nach unten. Heben und senken Sie die Arme, und wiederholen Sie das mehrmals, ganz nach Belieben."
V03,DE,03:50,30.0,6.3,23.7,B,continue,92,"Heben und senken Sie beide Arme weiter, bis auf Augenhoehe und zurueck, so wie Sie moechten."
V03,DE,04:20,30.0,17.8,12.2,CIRCLE,start_circle,258,"Zum Abschluss machen wir eine Bewegung mit beiden Haenden zusammen. Halten Sie die Haende vor sich und bewegen Sie sie im Kreis durch die Luft, beide auf derselben Bahn. Zeichnen Sie den Kreis weiter, und wiederholen Sie ihn ein paar Mal, ganz nach Belieben."
V03,DE,04:50,10.0,9.9,0.1,CIRCLE,close,144,"Lassen Sie den Kreis nun kleiner und kleiner werden, bis beide Haende zur Mitte zurueckkommen und stehen bleiben. Dies ist das Ende der Sitzung."
V03,EN,00:00,20.0,14.6,5.4,SETUP,setup,212,"This session takes about five minutes. We will guide you through a few short hand and arm movements, one after another. To start, hold both hands up in front of you, turn your palms to face you, and look at them."
V03,EN,00:20,30.0,16.5,13.5,D,start,239,"Next, let's do a movement with one arm at a time. Reach your right arm straight out in front of you, then bring it back. Do the same with your left arm, forward and back. Alternate between them, and do this a few times, in your own rhythm."
V03,EN,00:50,30.0,6.3,23.7,D,continue,92,"Keep reaching each arm forward and back, right and then left, and carry on at your own pace."
V03,EN,01:20,30.0,16.8,13.2,A,start,244,"Now, let's do a movement with both arms. Stretch both arms out to your sides and upward, away from each other, into a wide V shape. Then bring your hands back down to the center until they nearly meet. Repeat this a few times, at your own pace."
V03,EN,01:50,30.0,6.0,24.0,A,continue,87,"Keep opening your arms into the V and back to the center, continuing at your own speed."
V03,EN,02:20,30.0,16.6,13.4,C,start,240,"Now let's try a movement with your fingers. Spread all the fingers of both hands wide apart, stretching them out fully, then curl them in to make two fists. Open and then close your fingers, and repeat this several times, at your own speed."
V03,EN,02:50,30.0,6.1,23.9,C,continue,89,"Carry on spreading your fingers wide and closing them into fists again, in your own time."
V03,EN,03:20,30.0,16.9,13.1,B,start,245,"Now let's do the next one, with both arms in front of you. Raise both arms upward until your hands are about at eye level, then lower them all the way back down again. Raise and lower your arms, and go through this a few times, in your own time."
V03,EN,03:50,30.0,6.4,23.6,B,continue,93,"Continue raising your arms all the way up to eye level and lowering them, in your own rhythm."
V03,EN,04:20,30.0,16.3,13.7,CIRCLE,start_circle,237,"Finally, let's do a movement with both hands together. Hold your hands in front of you and move them around in a circle in the air, both hands following the same path. Keep tracing the circle, and repeat it a few times, at your own pace."
V03,EN,04:50,10.0,8.5,1.5,CIRCLE,close,123,"Now make the circle smaller and smaller, until both hands come back to the center and stop. This is the end of the session."
V04,DE,00:00,20.0,15.0,5.0,SETUP,setup,218,"Diese Sitzung dauert etwa fuenf Minuten. Wir fuehren Sie nacheinander durch einige kurze Hand- und Armbewegungen. Halten Sie zu Beginn beide Haende vor sich, drehen Sie die Handflaechen zu sich, und schauen Sie sie an."
V04,DE,00:20,30.0,18.3,11.7,C,start,265,"Versuchen wir nun eine Bewegung mit Ihren Fingern. Spreizen Sie alle Finger weit auseinander, strecken Sie sie ganz aus, und ballen Sie sie dann zu zwei Faeusten. Oeffnen und schliessen Sie die Finger, und wiederholen Sie das einige Male, in Ihrem eigenen Rhythmus."
V04,DE,00:50,30.0,6.5,23.5,C,continue,94,"Spreizen und ballen Sie die Finger weiter, oeffnen und schliessen Sie sie, ganz nach Belieben."
V04,DE,01:20,30.0,18.5,11.5,D,start,268,"Als naechstes machen wir eine Bewegung mit einem Arm nach dem anderen. Strecken Sie den rechten Arm gerade vor sich aus und fuehren Sie ihn zurueck. Machen Sie dasselbe mit dem linken Arm, vor und zurueck. Wiederholen Sie das mehrmals abwechselnd, so wie Sie moechten."
V04,DE,01:50,30.0,7.1,22.9,D,continue,103,"Strecken Sie weiter abwechselnd den rechten und den linken Arm vor und zurueck, in Ihrem eigenen Tempo."
V04,DE,02:20,30.0,18.2,11.8,B,start,264,"Machen wir nun die naechste Bewegung, mit beiden Armen vor sich. Heben Sie beide Arme an, bis Ihre Haende etwa auf Augenhoehe sind, und senken Sie sie dann wieder ganz nach unten. Heben und senken Sie die Arme, und wiederholen Sie das mehrmals, ganz nach Belieben."
V04,DE,02:50,30.0,6.3,23.7,B,continue,92,"Heben und senken Sie beide Arme weiter, bis auf Augenhoehe und zurueck, so wie Sie moechten."
V04,DE,03:20,30.0,18.7,11.3,A,start,271,"Nun lassen Sie uns eine Bewegung mit beiden Armen machen. Strecken Sie beide Arme zur Seite und nach oben aus, voneinander weg, sodass sie ein weites V bilden. Fuehren Sie die Haende dann wieder zur Mitte zurueck. Wiederholen Sie das ein paar Mal, in Ihrem eigenen Tempo."
V04,DE,03:50,30.0,6.8,23.2,A,continue,99,"Oeffnen Sie die Arme weiter zum V und fuehren Sie sie zurueck zur Mitte, in Ihrem eigenen Rhythmus."
V04,DE,04:20,30.0,17.8,12.2,CIRCLE,start_circle,258,"Zum Abschluss machen wir eine Bewegung mit beiden Haenden zusammen. Halten Sie die Haende vor sich und bewegen Sie sie im Kreis durch die Luft, beide auf derselben Bahn. Zeichnen Sie den Kreis weiter, und wiederholen Sie ihn ein paar Mal, ganz nach Belieben."
V04,DE,04:50,10.0,9.9,0.1,CIRCLE,close,144,"Lassen Sie den Kreis nun kleiner und kleiner werden, bis beide Haende zur Mitte zurueckkommen und stehen bleiben. Dies ist das Ende der Sitzung."
V04,EN,00:00,20.0,14.6,5.4,SETUP,setup,212,"This session takes about five minutes. We will guide you through a few short hand and arm movements, one after another. To start, hold both hands up in front of you, turn your palms to face you, and look at them."
V04,EN,00:20,30.0,16.6,13.4,C,start,240,"Now let's try a movement with your fingers. Spread all the fingers of both hands wide apart, stretching them out fully, then curl them in to make two fists. Open and then close your fingers, and repeat this several times, at your own speed."
V04,EN,00:50,30.0,6.1,23.9,C,continue,89,"Carry on spreading your fingers wide and closing them into fists again, in your own time."
V04,EN,01:20,30.0,16.5,13.5,D,start,239,"Next, let's do a movement with one arm at a time. Reach your right arm straight out in front of you, then bring it back. Do the same with your left arm, forward and back. Alternate between them, and do this a few times, in your own rhythm."
V04,EN,01:50,30.0,6.3,23.7,D,continue,92,"Keep reaching each arm forward and back, right and then left, and carry on at your own pace."
V04,EN,02:20,30.0,16.9,13.1,B,start,245,"Now let's do the next one, with both arms in front of you. Raise both arms upward until your hands are about at eye level, then lower them all the way back down again. Raise and lower your arms, and go through this a few times, in your own time."
V04,EN,02:50,30.0,6.4,23.6,B,continue,93,"Continue raising your arms all the way up to eye level and lowering them, in your own rhythm."
V04,EN,03:20,30.0,16.8,13.2,A,start,244,"Now, let's do a movement with both arms. Stretch both arms out to your sides and upward, away from each other, into a wide V shape. Then bring your hands back down to the center until they nearly meet. Repeat this a few times, at your own pace."
V04,EN,03:50,30.0,6.0,24.0,A,continue,87,"Keep opening your arms into the V and back to the center, continuing at your own speed."
V04,EN,04:20,30.0,16.3,13.7,CIRCLE,start_circle,237,"Finally, let's do a movement with both hands together. Hold your hands in front of you and move them around in a circle in the air, both hands following the same path. Keep tracing the circle, and repeat it a few times, at your own pace."
V04,EN,04:50,10.0,8.5,1.5,CIRCLE,close,123,"Now make the circle smaller and smaller, until both hands come back to the center and stop. This is the end of the session."
